name,data,num_models,connected,base_models,force_mae,energy_mae,path
conservative_meta_current_bases_8gpu.pth,old_data,7,False,"dp,nep,mtp,soap,painn,schnet,mace",0.00739953094550098,0.04283493384164536,el-mlffs/checkpoints/meta_models/conservative_meta_current_bases_8gpu.pth
104_dp_nep_mtp_schnet_mace.pth,old_data,5,False,"dp,nep,mtp,schnet,mace",0.011319237151183189,0.05060867143422365,el-mlffs/checkpoints/meta_models/conservative_combo/104_dp_nep_mtp_schnet_mace.pth
105_dp_nep_soap_painn_schnet.pth,old_data,5,False,"dp,nep,soap,painn,schnet",0.01094626746326685,0.04075216560438275,el-mlffs/checkpoints/meta_models/conservative_combo/105_dp_nep_soap_painn_schnet.pth
106_dp_nep_soap_painn_mace.pth,old_data,5,False,"dp,nep,soap,painn,mace",0.02019094916805625,0.16699230483174324,el-mlffs/checkpoints/meta_models/conservative_combo/106_dp_nep_soap_painn_mace.pth
107_dp_nep_soap_schnet_mace.pth,old_data,5,False,"dp,nep,soap,schnet,mace",0.013618558742105961,0.06005914194136858,el-mlffs/checkpoints/meta_models/conservative_combo/107_dp_nep_soap_schnet_mace.pth
10_dp_soap.pth,old_data,2,False,"dp,soap",0.013772353446111083,0.050556944482028486,el-mlffs/checkpoints/meta_models/conservative_combo/10_dp_soap.pth
112_dp_mtp_painn_schnet_mace.pth,old_data,5,False,"dp,mtp,painn,schnet,mace",0.011177720008417965,0.05314120730385184,el-mlffs/checkpoints/meta_models/conservative_combo/112_dp_mtp_painn_schnet_mace.pth
113_dp_soap_painn_schnet_mace.pth,old_data,5,False,"dp,soap,painn,schnet,mace",0.010998834082856774,0.04802926854230463,el-mlffs/checkpoints/meta_models/conservative_combo/113_dp_soap_painn_schnet_mace.pth
114_nep_mtp_soap_painn_schnet.pth,old_data,5,False,"nep,mtp,soap,painn,schnet",0.014020766213536262,0.053043700248003006,el-mlffs/checkpoints/meta_models/conservative_combo/114_nep_mtp_soap_painn_schnet.pth
115_nep_mtp_soap_painn_mace.pth,old_data,5,False,"nep,mtp,soap,painn,mace",0.013790092704817652,0.05072613364458084,el-mlffs/checkpoints/meta_models/conservative_combo/115_nep_mtp_soap_painn_mace.pth
11_dp_painn.pth,old_data,2,False,"dp,painn",0.012761220527812839,0.04604708721488714,el-mlffs/checkpoints/meta_models/conservative_combo/11_dp_painn.pth
120_dp_nep_mtp_soap_painn_schnet.pth,old_data,6,False,"dp,nep,mtp,soap,painn,schnet",0.010697119036689401,0.04130593797937036,el-mlffs/checkpoints/meta_models/conservative_combo/120_dp_nep_mtp_soap_painn_schnet.pth
121_dp_nep_mtp_soap_painn_mace.pth,old_data,6,False,"dp,nep,mtp,soap,painn,mace",0.010498155968263746,0.04140481441095471,el-mlffs/checkpoints/meta_models/conservative_combo/121_dp_nep_mtp_soap_painn_mace.pth
19_mtp_soap.pth,old_data,2,False,"mtp,soap",0.011623205490410328,0.04059521385282278,el-mlffs/checkpoints/meta_models/conservative_combo/19_mtp_soap.pth
1_dp.pth,old_data,1,False,dp,0.013606579683721065,0.05844964447617531,el-mlffs/checkpoints/meta_models/conservative_combo/1_dp.pth
20_mtp_painn.pth,old_data,2,False,"mtp,painn",0.011022082159295678,0.0379724413305521,el-mlffs/checkpoints/meta_models/conservative_combo/20_mtp_painn.pth
21_mtp_schnet.pth,old_data,2,False,"mtp,schnet",0.011441075714305042,0.03942074490711093,el-mlffs/checkpoints/meta_models/conservative_combo/21_mtp_schnet.pth
22_mtp_mace.pth,old_data,2,False,"mtp,mace",0.010791297962889076,0.03605850185453892,el-mlffs/checkpoints/meta_models/conservative_combo/22_mtp_mace.pth
23_soap_painn.pth,old_data,2,False,"soap,painn",0.01124352527782321,0.04067727559059858,el-mlffs/checkpoints/meta_models/conservative_combo/23_soap_painn.pth
24_soap_schnet.pth,old_data,2,False,"soap,schnet",0.011842168522998691,0.04967568888515234,el-mlffs/checkpoints/meta_models/conservative_combo/24_soap_schnet.pth
25_soap_mace.pth,old_data,2,False,"soap,mace",0.010714764846488834,0.037370361234992745,el-mlffs/checkpoints/meta_models/conservative_combo/25_soap_mace.pth
26_painn_schnet.pth,old_data,2,False,"painn,schnet",0.011218338876962662,0.04309264995530248,el-mlffs/checkpoints/meta_models/conservative_combo/26_painn_schnet.pth
28_schnet_mace.pth,old_data,2,False,"schnet,mace",0.010773988937027752,0.03871237078681588,el-mlffs/checkpoints/meta_models/conservative_combo/28_schnet_mace.pth
29_dp_nep_mtp.pth,old_data,3,False,"dp,nep,mtp",0.011553926756605506,0.04201534949615598,el-mlffs/checkpoints/meta_models/conservative_combo/29_dp_nep_mtp.pth
2_nep.pth,old_data,1,False,nep,0.01434272090345621,0.07569119067490102,el-mlffs/checkpoints/meta_models/conservative_combo/2_nep.pth
30_dp_nep_soap.pth,old_data,3,False,"dp,nep,soap",0.011667754208669067,0.03715173237398267,el-mlffs/checkpoints/meta_models/conservative_combo/30_dp_nep_soap.pth
31_dp_nep_painn.pth,old_data,3,False,"dp,nep,painn",0.010877717014402152,0.039239042840898034,el-mlffs/checkpoints/meta_models/conservative_combo/31_dp_nep_painn.pth
32_dp_nep_schnet.pth,old_data,3,False,"dp,nep,schnet",0.01129149036295712,0.03813793825358153,el-mlffs/checkpoints/meta_models/conservative_combo/32_dp_nep_schnet.pth
33_dp_nep_mace.pth,old_data,3,False,"dp,nep,mace",0.010915187077596783,0.03642224128916859,el-mlffs/checkpoints/meta_models/conservative_combo/33_dp_nep_mace.pth
35_dp_mtp_painn.pth,old_data,3,False,"dp,mtp,painn",0.016617530887946486,0.10661565724015236,el-mlffs/checkpoints/meta_models/conservative_combo/35_dp_mtp_painn.pth
37_dp_mtp_mace.pth,old_data,3,False,"dp,mtp,mace",0.010706896871328354,0.038019988860934974,el-mlffs/checkpoints/meta_models/conservative_combo/37_dp_mtp_mace.pth
38_dp_soap_painn.pth,old_data,3,False,"dp,soap,painn",0.011293305955827237,0.0407749926969409,el-mlffs/checkpoints/meta_models/conservative_combo/38_dp_soap_painn.pth
39_dp_soap_schnet.pth,old_data,3,False,"dp,soap,schnet",0.011406928388401866,0.03750457689166069,el-mlffs/checkpoints/meta_models/conservative_combo/39_dp_soap_schnet.pth
40_dp_soap_mace.pth,old_data,3,False,"dp,soap,mace",0.010856570789590477,0.03794055157899857,el-mlffs/checkpoints/meta_models/conservative_combo/40_dp_soap_mace.pth
41_dp_painn_schnet.pth,old_data,3,False,"dp,painn,schnet",0.01102557367272675,0.04419225939363241,el-mlffs/checkpoints/meta_models/conservative_combo/41_dp_painn_schnet.pth
42_dp_painn_mace.pth,old_data,3,False,"dp,painn,mace",0.011688692745752632,0.04918783419206738,el-mlffs/checkpoints/meta_models/conservative_combo/42_dp_painn_mace.pth
80_dp_soap_painn_schnet.pth,old_data,4,False,"dp,soap,painn,schnet",0.011294294469058514,0.04616580093279481,el-mlffs/checkpoints/meta_models/conservative_combo/80_dp_soap_painn_schnet.pth
81_dp_soap_painn_mace.pth,old_data,4,False,"dp,soap,painn,mace",0.01091844691336155,0.04698379387706518,el-mlffs/checkpoints/meta_models/conservative_combo/81_dp_soap_painn_mace.pth
82_dp_soap_schnet_mace.pth,old_data,4,False,"dp,soap,schnet,mace",0.010513373614288866,0.038613432336598634,el-mlffs/checkpoints/meta_models/conservative_combo/82_dp_soap_schnet_mace.pth
83_dp_painn_schnet_mace.pth,old_data,4,False,"dp,painn,schnet,mace",0.011217204527929426,0.0532251307554543,el-mlffs/checkpoints/meta_models/conservative_combo/83_dp_painn_schnet_mace.pth
84_nep_mtp_soap_painn.pth,old_data,4,False,"nep,mtp,soap,painn",0.011244898231700063,0.04037191639468074,el-mlffs/checkpoints/meta_models/conservative_combo/84_nep_mtp_soap_painn.pth
85_nep_mtp_soap_schnet.pth,old_data,4,False,"nep,mtp,soap,schnet",0.011751527370885015,0.05005196997523308,el-mlffs/checkpoints/meta_models/conservative_combo/85_nep_mtp_soap_schnet.pth
88_nep_mtp_painn_mace.pth,old_data,4,False,"nep,mtp,painn,mace",0.011106588345021009,0.04633074844628572,el-mlffs/checkpoints/meta_models/conservative_combo/88_nep_mtp_painn_mace.pth
89_nep_mtp_schnet_mace.pth,old_data,4,False,"nep,mtp,schnet,mace",0.011332697748206557,0.049939512133598325,el-mlffs/checkpoints/meta_models/conservative_combo/89_nep_mtp_schnet_mace.pth
90_nep_soap_painn_schnet.pth,old_data,4,False,"nep,soap,painn,schnet",0.010855330230668188,0.042945067536085846,el-mlffs/checkpoints/meta_models/conservative_combo/90_nep_soap_painn_schnet.pth
91_nep_soap_painn_mace.pth,old_data,4,False,"nep,soap,painn,mace",0.010489338767714799,0.040968687877058985,el-mlffs/checkpoints/meta_models/conservative_combo/91_nep_soap_painn_mace.pth
92_nep_soap_schnet_mace.pth,old_data,4,False,"nep,soap,schnet,mace",0.012111020606942476,0.05176742421090603,el-mlffs/checkpoints/meta_models/conservative_combo/92_nep_soap_schnet_mace.pth
93_nep_painn_schnet_mace.pth,old_data,4,False,"nep,painn,schnet,mace",0.011891219560056924,0.05944766588509083,el-mlffs/checkpoints/meta_models/conservative_combo/93_nep_painn_schnet_mace.pth
96_mtp_soap_schnet_mace.pth,old_data,4,False,"mtp,soap,schnet,mace",0.010607062682509423,0.039552885737270116,el-mlffs/checkpoints/meta_models/conservative_combo/96_mtp_soap_schnet_mace.pth
conservative_meta_4model_no_dp_painn_mace_l2.pth,peptide_dft,4,False,"nep,mtp,soap,schnet",0.13142491318285465,0.3700078590849384,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_4model_no_dp_painn_mace_l2.pth
conservative_meta_4model_no_dp_painn_mace_l2_connected.pth,peptide_dft,4,True,"nep,mtp,soap,schnet",0.1286395706511179,0.3548927865617099,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_4model_no_dp_painn_mace_l2_connected.pth
conservative_meta_5model_no_dp_painn.pth,peptide_dft,5,False,"nep,mtp,soap,schnet,mace",0.10405130324824179,0.21296247423122652,el-mlffs/checkpoints/peptide_dft_wb97x_5k_meta_models/conservative_meta_5model_no_dp_painn.pth
